word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency
find,VB,__UNDEF__,+,405,544.877746
say,VB,__UNDEF__,+,404,543.532368
(,Fpa,__UNDEF__,+,404,543.532368
make,VB,__UNDEF__,+,404,543.532368
),Fpt,__UNDEF__,+,403,542.186991
things,NNS,__UNDEF__,+,403,542.186991
well,RB,__UNDEF__,+,403,542.186991
So,RB,__UNDEF__,+,402,540.841614
thing,NN,__UNDEF__,+,400,538.15086
back,RP,__UNDEF__,+,400,538.15086
stood,VBD,__UNDEF__,+,399,536.805483
under,IN,__UNDEF__,+,398,535.460106
man,NN,__UNDEF__,+,395,531.423974
always,RB,__UNDEF__,+,392,527.387843
soon,RB,__UNDEF__,+,387,520.660957
until,IN,__UNDEF__,+,387,520.660957
Vanger,NP,__UNDEF__,+,387,520.660957
since,IN,__UNDEF__,+,384,516.624825
ever,RB,__UNDEF__,+,383,515.279448
every,DT,__UNDEF__,+,382,513.934071
far,RB,__UNDEF__,+,382,513.934071
think,VB,__UNDEF__,+,381,512.588694
water,NN,__UNDEF__,+,379,509.89794
made,VBD,__UNDEF__,+,377,507.207185
last,JJ,__UNDEF__,+,376,505.861808
own,JJ,__UNDEF__,+,374,503.171054
while,IN,__UNDEF__,+,373,501.825677
does,VBZ,__UNDEF__,+,372,500.4803
course,NN,__UNDEF__,+,372,500.4803
its,PRP$,__UNDEF__,+,371,499.134922
same,JJ,__UNDEF__,+,371,499.134922
morning,NN,__UNDEF__,+,370,497.789545
Now,RB,__UNDEF__,+,369,496.444168
being,VBG,__UNDEF__,+,368,495.098791
much,JJ,__UNDEF__,+,364,489.717282
room,NN,__UNDEF__,+,363,488.371905
much,RB,__UNDEF__,+,362,487.026528
really,RB,__UNDEF__,+,360,484.335774
van,NN,__UNDEF__,+,360,484.335774
place,NN,__UNDEF__,+,360,484.335774
As,IN,__UNDEF__,+,357,480.299642
seen,VBN,__UNDEF__,+,357,480.299642
over,RP,__UNDEF__,+,355,477.608888
